Track	Artist	Lyrics	Date	Gold	K1	K2	K3	L1	L2	L3	Sim K1	Sim K2	Sim K3	Sim L1	Sim L2	Sim L3
Aberdeen	Kurt Cobain	"In a community that stresses macho male sexual stories as a highlight of all conversationI was under-developed, immature, fat little dude that never got laid, and was constantly harassed!Oh, poor little kid!It bothered me, probably more so because I was horny, and frequently had to make up stories like""Uh, when I went on vacation, I met this chick, and we fucked, and she loved it!""Et cetera, et ceteraThis typical pubescent problem was in effectDuring the height of my problems with my father and stepmomYou know, the typical wicked-stepmom storyAnd so, I moved to both grandparents and four sets of aunts and unclesAnd so forth and so on within the yearAnd in eighth grade, my mom had no choice but take me inBecause my dad packed my stuff and drove me to her house in the morning and left me thereShe was pissedI accumulated quite a healthy complex, not to mention a complexionThen one day I discovered the most ultimate form of expression everMarijuanaOh, boy, pot!I could escape all day long and not have the habit routine nervous breakdowns once a weekOnly being stoned for the first few times was what I claimed as""Something I would do for the rest of my life""And I would practically do anything to ensure my supply of the fantastic weedTrevor was a guy I hated, but resorted to becoming friends withBecause he was the only person I could get pot fromHe was the kingpinTrevor, Ace, John and DarrenAll white-trash, lowlifes, scums of the Earth according to the jocksHad been going to this girl's house after school, and they invited meWe got to the door and a very fat girl let us inIt wasn't obvious to me for over an hour that this girl seemed kind of quietUntil one of the guys pointed out that she was in a special-ed classI'm sure a lot o' kids would call her a retard and some just slowAnd at the time, and still to this day, I would call her quiet and illiterate, but not retardedThe object of the guys who had been going there for the past monthWas to steal booze from the downstairs basement den of her houseWhile others distracted her by opening cupboards and doors and pretending to eat all the foodOne would go down and take a fifth, and then exit out the downstairsSo we'd do this routine every other day, and got away with it for only about a monthAnd during that month, happened to be the epitome of the mental abuse from my motherIt turned out that pot didn't help me escape my troubles too well anymoreAnd I was actually enjoying doing rebellious things like stealing booze and busting store windowsAnd nothing ever matteredI decided within the next month, I'll not sit on my roof and think about jumpingBut I'll actually kill myselfAnd I wasn't going out from this world without actually knowing what it was like to get laidSo one day after school, I went to the girl's house aloneAnd invited myself in, and she offered me some TwinkiesAnd I sat on her lap and I said""Let's fuck""And I touched her tits and she went into her bedroom and got undressed in front of meAnd I watched and realized that it was actually happeningSo I tried to fuck her but didn't know howAnd I asked her if she had ever done this beforeAnd she said, ""A lot of times, "" mainly with her cousinI got grossed out very heavily with how her vagina smelled and her sweat reekedSo I leftMy conscience grew to where I couldn't go to school for a weekAnd when I went back I got in-house suspension for skippingAnd that day, the girl's father came inScreaming and accusing someone of taking advantage of his daughterAnd so during lunch the rumor started, and by the next dayEveryone was waiting for me to yell and cuss and spit at me and callin' me ""The retard fuckerI couldn't handle the ridicule, so I got high and drunk, and walked down to the train tracks, and laid downAnd put two big pieces of cement on my chest and legs and I waited for the eleven o'clock trainAnd the train came closer, and closer, and closerAnd it went on the next track besides me, instead of over meThe tension from school had an effect on me, and so I couldn't attend the school anymoreAnd the train scared me enough to try to rehabilitate myself byBy lifting weights and, and mathematics seemed to be improving, so I became less manically depressedBut still never had any friends because II hated everyone, for they were so phony"	Yes	Sex	Loneliness	Nostalgia	Place	Depression	Depression	Struggles	0.23	0.15	0.28	0.28	0.28	0.2
Lemon Song	Led Zeppelin	I should have quit you a long time agoOoh-whoa, yeah, yeah, long time agoI wouldn't be here, my childrenDown on this killin' floorI should have listened, baby, a-to my second mindOh, I should have listened, baby, to my second mindEverytime I go away and leave ya, darlin'A-send me the blues, rain down the line, noHey, yeah-yeah-yeah, keep up, yeah, oh, yeahBabe-yeahh, yeah, treat me right, babyOoh-whoa, whoa-whoa, my, my, my, my-hahNow take it down a little bitPeople tell me baby can't be satisfied-aTry to worry me, b-ba-babyBut I never did end up guit-chewin' myselfPeople worry, baby, can't keep you satisfiedHuh, let me tall ya, babeAh, you ain't nothin' but a nn-two-bit, no-good jiveI went to sleep last night, I work as hard as I can-aI bring home my money, you take my money, give it to another manI should have quite you, babyOh, such a long time ago-hoI wouldn't be hear with all my troublesDown on this killin' floorSqueeze me, babe, 'till the juice runs down my legDo, squeeze, squeeze me, baby, until the juice runs down my legThe way you squeeze my lemon-aI'm gonna fall right outta bed, 'ed, 'ed, bed, yeahYeahHey, hey, hey, hey, hey, hey, hey, heyJuice, baby, baby, baby, baby, babyBaby, baby, baby, baby, baby, babyHey, babe, babe, babe, babe, oh, noNo, no, now, nowI'm gonna leave my children down on this killing floor	Yes	Sex	Sex	Sex	Celebration	Sex	Heartache	Relationship	1.0	1.0	0.18	1.0	0.16	0.41
Birthday cake	Rihanna	Come and put your name on itPut your name on itCome and put your name on itYour nameBet you wanna put your name on itPut your name on itCome and put your name on itBa-ba-baby, uhIt's not even my birthdayBut he want to lick the icing offI know you want it in the worst wayCan't wait to blow my candles outHe want thatCake, cake, cake, cakeCake, cake, cake, cakeCake, cake, cake, cakeCake, cake, cakeOoh baby, I like itYou so excitedDon't try to hide itI'mma make you my bitchCake, cake, cake, cakeCake, cake, cake, cakeCake, cake, cake, cakeCake, cake, cakeI know you wanna bite thisIt's so enticin'Nothin' else like thisI'mma make you my bitchAnd it's not even my birthdayBut you wanna put your name on itAnd it's not even my birthdayAnd he tryna put his name on itOoh, I wanna fuck you right nowJust get up on my body, I'll do anything	Yes	Sex	Sex	Celebration	Celebration	Sex	Sex	Seduction	1.0	0.18	0.18	1.0	1.0	0.5
Black Star	Radiohead	I get home from workAnd you're still standing in your dressing gownWell, what am I to do?I know all the things around your headAnd what they do to youWhat are we coming to?What are we gonna do?Blame it on the black starBlame it on the falling skyBlame it on the satelliteThat beams me homeTroubled words of a troubled mindI try to understand what is eating youI try to stay awake, but it's 58 hoursSince that I last slept with youWhat are we coming to?I just don't know anymoreBlame it on the black starBlame it on the falling skyBlame it on the satelliteThat beams me homeI get on the train and I just stand aboutNow that I don't think of youI keep falling over, I keep passing outWhen I see a face like youWhat am I coming to?I'm gonna melt downBlame it on the black starBlame it on the falling skyBlame it on the satelliteThat beams me homeThis is killing meThis is killing me	Yes	Sex	Death	Reflection	Mystery	Depression	Depression	Existentialism	0.31	0.14	0.26	0.28	0.28	0.04
Cuff It	Beyonce	I feel like fallin' in love (fallin' love)I'm in the mood to fuck somethin' up (tonight, I'm fuckin' somethin' up, baby)I need some drink in my cup (I need a drink)Hey (pour me a drink)I'm in the mood to fuck somethin' up (I'm in the mood to fuck somethin' up)I wanna go missin'I need a prescriptionI wanna go higher, can I sit on top of you? (Ooh-la-la-la, la-la-la)I wanna go where nobody's been (wanna go where nobody's been)Have you ever had fun like this? (Have you ever had fun? Yeah)We gon' fuck up the night, black lightsSpaceships fly (spaceships fly)Yeah, unapologetic when we fuck up the nightFuck up the nightWe gettin' fucked up tonightWe gon' fuck up the nightBet you you'll see farBet you you'll see starsBet you you'll elevateBet you you'll meet God'Cause I feel like fallin' in loveI'm in the mood to fuck somethin' up'Cause we gon' fuck up the nightWhat's in these four walls?You sexy, my love (turn it up)Don't miss this roll-callIs you here or what? (Roll it up)Yeah, show up, show up (show up, show up)Po' up, po' up (po' up, po' up)Uh, you Mr. Nasty, I'll clean it upGo where nobody's been (wanna go where nobody's been)Have you ever had fun like this? (Have you ever had fun? Yeah)I wanna go missin'I need a prescriptionI wanna go higher, can I sit on top of you?We gon' fuck up the night (funk it up, funk it up)Black lightsSpaceships fly (spaceships fly)Yeah, unapologetic when we fuck up the night (funk it up, funk it up)Fuck up tonightWe gettin' fucked up tonightWe gon' fuck up the nightBet you you'll see farBet you you'll see starsBet you you'll elevateBet you you'll meet God'Cause I feel like fallin' in loveI'm in the mood to fuck somethin' upWe gon' fuck up the nightHypersonic, sex eroticOn my body, boy, you got itHit them 'draulics, while I ride itGot me actin' hella thottySo excited, so exoticI'm a seasoned professionalSqueeze it, don't let it goTease it, no self controlI got time today (I got time today, I got time)Oh, I (I got time today, I got time)I can't wait 'to come out and playOoh, yeah youCome and cuff it, cuff it, cuff it, cuff it, babyWhile I buss it, buss it, buss it, for you baby, ayyOh, babyAnywhere, any timeI don't mind, I don't mindYeah (I don't mind)For you (all for you)I'm backin' the truck up, huh (back that truck up)For you (all for you, for you)A bitch'll get fucked up, huh (I fucked her up)For you (all for you)I'm puttin' my cup up, huh (put my cup up, yeah)For you (all for you, you)'Cause we gon' fuck up the nightTake flight (woo), blindin' lights (yeah)Fuck it up, fuck it up, fuck it up(Unapologetic when we fuck up the night)Bet you you'll see stars (night)Bet you you'll go far (night)Bet you you'll levitate (night)Bet you you'll meet God (party people, roll up)Ooh (yeah)We gon' fuck up the night (huh, yeah)Spaceships flyFuck it up, fuck it up	No	Sex	Cheating	Sex	Confidence	Sex	Sex	Desire	0.49	1.0	0.17	1.0	1.0	0.4
Virgo's Groove	Beyonce	Baby, come overBaby, come overBaby, come over (baby, come over)Come be alone with me tonightAll these emotions (all these emotions)It's washing over me tonight, ahRight here, right nowIced up, bite downBaby, lock in, right nowI want it right here, right nowCuddled up on the couchMotorboat, baby, spin aroundSlow-mo coming out my blouseI want it right here, right nowThere's nothing that I want as much as I want youA psychic hit me, told me we got shit to doWe ain't got time like we used toBut we still shine like we used toAnd we still grind like we used toAnd we cut ties when we need toBut I need more you on me and me on you, ohAnd I need more nudity and ecstasy, oh(On this magic ride)Baby, you can hit this, don't be scared(Baby, you can hit this, don't be scared)It's only gonna get you highBaby, come overCome be alone with me tonightAll these emotionsIt's washing over me tonight, ohRight here (right here), right now (right now)Iced up (iced up), bite down (bite down)Baby, lock in (lock in) right now (right now)I want it right here (right here), right now (right now)Cuddled up (cuddled up) on the couch (on the couch)Motorboat (motorboat), baby, swerve around (swerve around)Slow-mo (slow-mo) coming out my blouse (out my blouse)I want it right here (right here), right now (right now)Baby, come overI can be the one that takes you there(I can be the one that takes you there)On this magic rideBaby, come overBaby, you can hit this, don't be scared(Baby, you can hit this, don't be scared)It's only gonna get you highBaby, come overCome and woo me through the nightBring all those emotionsAnd show me how you feel insideBaby, come over (baby, come over)Come be alone with me tonightAll these emotions (all these emotions)It's washing over me tonight, uhYour hands, your hands so strong when they're grippin' on me, yeahSo, dance, all night long to the throb, baby, feel the beatDon't you leave, yeah, meDon't you leaveSo use me (use me), pursue me (pursue me)Kiss me where you bruise me (bruise me)Taste me (taste me), that fleshy partI scream so loud, I curse the starsYou don't need no excuseTo touch somebody (touch me)To love somebody (love me)To trust somebody (will you trust me?)Now go ahead and hug somebody 'cause I can see the light in youEverybody want somebody (I want you)Everybody got somebody (I got you)So come over and want my body 'causeThe love of my life (the love of my life)Yeah, yeah, yeah, yeah (my life)You're my life, baby, you're the love of my life(You are) oh, baby, keep me warmOoh, he bring me back to lifeOoh, you make me lose my prideOoh, that loving keep me highThat's why I love you, babyThat's why I trust you, baby (trust you, baby)Love somebody, love somebody, love somebody, babyYou're the love of my lifeYou're the love of my lifeYour love keeps me highYour love gives me lifeYour love, your loveGood Lord, baby, don't you ever switch it upTalk to me nice (nice)You're the love of my life, of my lifeYou're the love of my lifeBaby, you're the love of my lifeYou're the love of my lifeBaby, love me, love me, love meAnd, baby, let me love you backTouch me, touch me, please meKiss me boyYou're the only love of my lifeYou are, yeah, you are(You are)The love of my lifeMy life	No	Sex	Love	Self-empowerment	Astrology	Sex	Love	Intimacy	0.39	0.32	0.2	1.0	0.39	0.39
Summer Renaissance	Beyonce	I wanna house you and make you take my nameI'm gonna spouse you and make ya tat' ya ringI'm gonna take you all the way, baby, can I take you all the way?You sexy motherfucker, boy, you growin' on meI just wanna thug you, the category is Bey'You gangsta motherfucker, boy, you growin' on meBoy, I just wanna touch you, I can feel it through those jeansAh, ah, ah, oh, wooBoy, you never had a chanceIf you make my body talk, I'ma leave you in a tranceGot you walking with a limp, bet this body make ya danceDance, dance, danceIt's so good, it's so good, it's so good, it's so good, it's so goodIt's so good, it's so good, it's so good, it's so good, it's so goodIt's so good, it's so good, it's so good, it's so good, it's so goodI wanna crush you, I won't overanalyzeI'm gonna trust you even though we met tonightBut I'm gonna take you all the way, baby, can I take you all the way?You sexy motherfucker, boy, you growin' on meI just wanna thug you, the category is Bey (you growin' on me)You gangsta motherfucker (boy, you growin' on me)Black silicone and rubbers (I can feel, feel those jeans)I, I, II'm feeling way too loose to be tied downCan you see my brain open wide now?Come and get what I came for, hella night nowKnow you love when I roleplay, who am I now?I'm a doc', I'm a nurse, I'm a teacherDominate is the best way to beat yaSorry 'bout yesterday, now the sweet stuffYou're a sweetie pie, come let me eat ya(Fuck it up)OohBoy, you never had a chanceIf you make my body talk, I'ma leave you in a tranceGot you walking with a limp, bet this body make ya danceDance, dance, danceIt's so good, it's so good, it's so good, it's so good, it's so goodIt's so good, it's so good, it's so good, it's so good, it's so goodApplause, a round of applauseApplause, a round of applauseSay I want, want, want what I want, want, wantI want, want, want what I want, want, wantI want, want, want what I want, want, wantI want, want, want what I want, want, wantI want your touch, I want your feelingI want your touch, I want your feelingI want your love, I want your spiritI want your love, I want your spiritThe more I want, the more I need itThe more I want, the more I need itNeed itNeed itVersace, Bottega, Prada, BalenciagaVuitton, Dior, Givenchy, collect your coins, BeyoncéSo elegant and raunchy, this haute couture I'm flauntingThis Telfar bag imported, Birkins, them shits in storageI'm in my bagAh, ooh, ooh, ooh, ooh	No	Sex	Love	Liberation	Rebirth	Love	Sex	Seduction	0.39	0.2	0.12	0.39	1.0	0.5
Take My breath	The Weeknd	I saw the fire in your eyesI saw the fire when I look into your eyesYou tell me things you wanna try, uhI know temptation is the devil in disguiseYou risk it all to feel alive, oh, yeahYou're offering yourself to me like sacrificeYou said you do this all the timeTell me you love me if I bring you to the lightIt's like a dream what she feels with meShe loves to be on the edgeHer fantasy is okay with meThen suddenly, baby saysTake my breath awayAnd make it last forever, babeDo it now or never, babe (ah)Take my breath awayNobody does it better, babeBring me close to-Want me to hold on to you tightYou pull me close, I feel the heat between your thighs (uh, say)You're way too young to end your life, huhGirl, I don't wanna be the one who pays the priceOoh, it's like a dream what she feels with meShe loves to be on the edgeHer fantasy is okay with meThen suddenly, baby saysTake my breath awayAnd make it last forever, babeDo it now or never, babe (ah)Take my breath awayNobody does it better, babeBring me close to heaven, babe (uh)Take my breathOh, oh-oohAnd they'll see meOh-ooh, ooh (yeah, say)Oh-oh, oh-ohOh-oh, oh-ohOh-oh, oh-ohOh-ooh-ohTake my breath away (take my breath away)And make it last forever, babeDo it now or never, babe (ah)Take my breath away (take my breath away)Nobody does it better, babeBring me close to heaven, babeTake my breath (take my breath a-, breath away)NobodyTake my breath (take my breath a-, breath away)Nobody does it better, babeBring me close to heaven, babe (uh)Take my breath	No	Sex	Sex	Passion	Sensuality	Sex	Sex	Passion	1.0	0.32	0.31	1.0	1.0	0.32
A&W	Lana del Rey	I haven't done a cartwheel since I was nineI haven't seen my mother in a long, long timeI mean, look at me, look at the length of my hairMy face, the shape of my bodyDo you really think I give a damn what I doAfter years of just hearing them talking?I say I live in RosemeadReally, I'm at the RamadaIt doesn't really matterDoesn't really, really matterCall him up, come into my bedroomEnded up, we fuck on the hotel floorIt's not about havin' someone to love me anymoreThis is the experience of bein' an American whoreCalled up one drunk, called up anotherForensic Files wasn't onWatching Teenage Diary of a GirlWondering what went wrongI'm a princess, I'm divisiveAsk me why, why, why I'm like thisMaybe I'm just kinda like thisI don't know, maybe I'm just like thisI say I live in RosemeadReally, I'm at the RamadaIt doesn't really matterDoesn't really, really matterCall him up, he comes over againYeah, I know I'm over my head, but, ohIt's not about havin' someone to love me anymoreNo, this is the experience of bein' an American whoreI mean, look at my hairLook at the length of it and the shape of my bodyIf I told you that I was rapedDo you really think that anybody would think I didn't ask for it?I didn't ask for itI won't testify, I already fucked up my storyOn top of this, so many other things you can't believeDid you know a singer can still beLookin' like a side piece at thirty-three?God's a charlatan, don't look back, babePuts the shower on while he calls meSlips out the back door to talk to meI'm invisible, look how you hold meI'm invisible, I'm invisibleI'm a ghost now, look how you hold me nowIt's not about havin' someone to love me anymore (oh, okay)No, this is the experience of bein' an American whoreIt's not about havin' someone to love me anymoreNo, this is the experience of bein' an American whoreThis is the experience of bein' an American whoreThis is the experience of bein' an American whoreJimmy, Jimmy, cocoa puff, Jimmy, Jimmy rideJimmy, Jimmy, cocoa puff, Jimmy, get me high (oh, my God)Love me, if you love enough, you can be my lightJimmy only love me when he wanna get highJimmy only love me when he wanna get highJimmy only love me when he wanna get highJimmy only love me when he wanna get highYour mom called, I told her you're fucking up big timeYour mom called, I told her you're fucking up big timeJimmy, Jimmy, cocoa puff, Jimmy, Jimmy rideJimmy, Jimmy, cocoa puff, Jimmy, get me highLove me, if you love enough, you can be my lightJimmy only love me when he wanna get highJimmy only love me when he wanna get highJimmy only love me when he wanna get highJimmy only love me when he wanna get highYour mom called, I told her, you're fucking up big timeJimmy, you should switch it up, maybe light it up (yeah)Jimmy, if you leave the house, find me in the club (like)Jimmy, if you switch it up, you should light it upJimmy, if you leave the house, find me in the club (surf's up)Your mom called, I told her you're fucking up big timeBut I don't care, baby, I already lost my mindIf you light it up, find me in the clubYour mom called, I told her you're fucking up big timeJimmy, Jimmy, cocoa puff, Jimmy, Jimmy rideJimmy, Jimmy, cocoa puff, Jimmy, get me highLove me if you love enough, you can be my lightJimmy only love me when he wanna get highJimmy only love me when he wanna get highJimmy only love me when he wanna get highJimmy only love me when he wanna get highYour mom called, I told her you're fucking up big time	No	Sex	Heartache	Nostalgia	Nostalgia	Heartache	Depression	Identity	0.16	0.15	0.15	0.16	0.28	0.23
Everybody Hurts	R.E.M.	When your day is longAnd the night, the night is yours aloneWhen you're sure you've had enoughOf this life, well hang onDon't let yourself go'Cause everybody criesEverybody hurts sometimesSometimes everything is wrongNow it's time to sing alongWhen your day is night alone (hold on, hold on)If you feel like letting go (hold on)If you think you've had too muchOf this life, well hang onCause everybody hurtsTake comfort in your friendsEverybody hurtsDon't throw your hand, oh noDon't throw your handIf you feel like you're aloneNo, no, no, you are not aloneIf you're on your own in this lifeThe days and nights are longWhen you think you've had too muchOf this life to hang onWell, everybody hurts sometimesEverybody criesEverybody hurts, sometimesAnd everybody hurts sometimesSo hold on, hold onHold on, hold on, hold onHold on, hold on, hold onEverybody hurts	Yes	Depression	Depression	Sadness	Empathy	Depression	Depression	Resilience	1.0	0.55	0.41	1.0	1.0	0.31
By the Grace of God	Katy Perry	Was 27, surviving my return to SaturnA long vacation didn't sound so badWas full of secrets, locked up tight like Iron MountainRunning on empty, so out of gasThought I wasn't enoughFound I wasn't so toughLaying on the bathroom floorWe were living on a fault lineAnd I felt the fault was all mineCouldn't take it any moreBy the grace of God (there was no other way)I picked myself back up (I knew I had to stay)I put one foot in front of the other and ILooked in the mirror and decided to stayWasn't gonna let love take me out that wayI thank my sister for keeping my head above the waterWhen the truth was like swallowing sandNow every morning, there is no more mourningOh, I can finally see myself againI know I am enough, possible to be lovedIt was not about meNow I have to rise aboveLet the universe call the bluffYeah, the truth will set you freeBy the grace of God (there was no other way)I picked myself back up (I knew I had to stay)I put one foot in front of the other and ILooked in the mirror and decided to stayWasn't gonna let love take me outOh, that way, noThat way, noNot in the name of love (in the name of love)That way, noThat way, noI am not giving upBy the grace of GodI picked myself back upI put one foot in front of the other and ILooked in the mirror (looked in the mirror)Looked in the mirror (looked in the mirror)By the grace of God (by the grace of God)(There was no other way)I picked myself back up (I picked myself back up)(I knew I had to stay)I put one foot in front of the other and I (in front of the other)Looked in the mirror and decided to stayWasn't gonna let love take me out that way	Yes	Depression	Religion	Faith	Resilience	Religion	Overcoming	Empowerment	0.27	0.26	0.31	0.27	0.49	0.28
Cleaning My Gun	Chris Cornell	"Here's a song I wrote a while ago I never re-That's never been on anythingIt's called ""Cleaning My Gun"" You and I went deeply, you and I went far and wideYou and I went gently, you and I went for a rideBut somewhere in the ashes of this burningLovers' gameSomehow you decided you would find another flameAnd as you lay sleeping with yourYour eyes softly shutI will be cleaning my gunCleaning my gunWhen Heaven or Hell takes this lifeI'll be doneYou never lied to meNever said you'd be around for longBut somehow I believed that you would be my only oneCause you know where I'm goingYou know where I'm coming fromBut now this train is slowlyComing to its final destinationAnd as you lay sleeping with yourYour eyes softly shutI will be cleaning my gunCleaning my gunWhen Heaven or Hell takes this lifeI'll be doneCleaning my gunCleaning my gunWhen Heaven or Hell takes this lifeI'll be doneAnd as you lay sleeping with yourYour eyes softly shutI know it ain't me you're dreaming ofMama always told me love would save me from myselfDaddy always said that love would take me straight to hellWell, sometimes they were righteousAnd sometimes they were oh, so wrongCause I'm cleaning my gunI'm cleaning my gunWhen heaven or hell takes this lifeI'll be doneCleaning my gunCleaning my gunWhen heaven or hell takes this lifeI'll be doneWhen heaven or hell takes this lifeI'll be doneI'll be doneThank you"	Yes	Depression	Friendship	Reflection	Reflection	Heartache	Heartache	Heartbreak	0.31	0.31	0.31	0.41	0.41	0.39
Lithium	Nirvana	I'm so happy 'cause today I found my friendsThey're in my headI'm so ugly, that's okay, 'cause so are youBroke our mirrorsSunday morning is everyday, for all I careAnd I'm not scaredLight my candles in a daze'Cause I've found GodYeah, yeahYeah, yeahYeah, yeahYeah, yeahYeah, yeahYeah, yeah, yeahI'm so lonely, that's okay, I shaved my headAnd I'm not sadAnd just maybe I'm to blame for all I've heardBut I'm not sureI'm so excited, I can't wait to meet you thereAnd I don't careI'm so horny, that's okayMy will is goodYeah, yeahYeah, yeahYeah, yeahYeah, yeahYeah, yeahYeah, yeah, yeahI like it, I'm not gonna crackI miss you, I'm not gonna crackI love you, I'm not gonna crackI killed you, I'm not gonna crackI like it, I'm not gonna crackI miss you, I'm not gonna crackI love you, I'm not gonna crackI killed you, I'm not gonna crackI'm so happy 'cause today I found my friendsThey're in my headI'm so ugly, that's okay, 'cause so are youBroke our mirrorsSunday morning is everyday, for all I careAnd I'm not scaredLight my candles in a daze'Cause I've found GodYeah, yeahYeah, yeahYeah, yeahYeah, yeahYeah, yeahYeah, yeah, yeahI like it, I'm not gonna crackI miss you, I'm not gonna crackI love you, I'm not gonna crackI killed you, I'm not gonna crackI like it, I'm not gonna crackI miss you, I'm not gonna crackI love you, I'm not gonna crackI killed you, I'm not gonna crack	Yes	Depression	Depression	Mental health	Emotion	Depression	Depression	Emotions	1.0	0.61	0.44	1.0	1.0	0.51
Daddy’s Gonna Pay for your Crashed Car	U2	… You're a precious stone, you're out on your ownYou know everyone in the world, but you feel aloneDaddy won't let you weep, daddy won't let you acheDaddy gives you as much as you can takeAha, sha-la. Aha sha-laDaddy's gonna pay for your crashed car… A little uptight, you're a baby's fistButterfly kisses up an' down your wristWhen you see daddy comin', you're lickin' your lipsNails bitten down to the quick… Aha, sha-la, Aha sha-laDaddy's gonna pay for your crashed carDaddy's gonna pay for your crashed car… You've got a head full of traffic, you're a siren's songYou cry for Mama, and Daddy's right alongHe gives you the keys to a flamin' carDaddy's with you wherever you are… Daddy's a comfort, Daddy's your best friendDaddy'll hold your hand right up to the end… Aha, sha-la, Aha sha-laDaddy's gonna pay for your crashed carDaddy's gonna pay for your crashed carSunday, Monday, Tuesday, WednesdayThursday, Friday, Saturday's alright	Yes	Depression	Drugs	Critique	Rebellion	Cheating	Dependency	Materialism	0.51	0.18	0.24	0.27	0.41	0.24
Boats	Ed Sheeran	Came in for the embers Stayed out for the breeze I need to feel elements to remind me There's beauty when it's bleak Stuck out long before lights down Why do I breathe? Oh, I know The more that I love the less that I feel The times that I jumped never were real They say that all scars will heal but I know Maybe I won't But the waves won't break my boat But the waves won't break my boat Stones crash on the boardwalk Wind rushed through the trees I keep my eyes peeled The memories always fall short Of what we could have been Left out long before last call What do I need? Oh, I know The more that I love the less that I feel The times that I jumped never were real They say that all scars will heal but I know Maybe I won't But the waves won't break my boat But the waves won't break my boat But the waves won't break my boat The waves won't break my boat The more that I love the less that I feel The times that I jumped never were real They say that all scars will heal but I know Maybe I won't And the waves won't break my boat	No	Depression	Depression	Reflection	Freedom	Loneliness	Resilience	Perseverance	1.0	0.31	0.25	0.57	0.31	0.22
Borderline	Ed Sheeran	Sadness always finds an inSneaks its way past, infecting everythingAnd every chapter has an endBut this is one momentous sequel, don't you think?And the blackbirds, they flyLike a frown on the skylineRight now, I feel I'm running from the lightEngulfed in darkness, shielded from my eyesOne foot in, one out, I'm stuck on the borderlineWhich way will I?Guess I should take this on the chinBut I don't even know how all of this beganWe are made to mold and bendHow can I wish for nothing when it's still a sin?And right now, I feel I'm running from the lightEngulfed in darkness, shielded from my eyesOne foot in, one out, I'm stuck on the borderlineWhich way will I?Tears never arrive, these ducts are dryWe are so blindWaiting on the borderlineWaiting on the borderlineSo, I will pour another drinkAnd try to drown the pain with salt along the rimAnd I'll shut off the things I think'Cause nothing good will ever come from worryingRight now, I feel I'm running from the lightEngulfed in darkness, shielded from my eyesOne foot in, one out, I'm stuck on the borderlineWhich way will I?Tears never arrive, these ducts are dryWe are so blind	No	Depression	Heartache	Confusion	Uncertainty	Heartache	Turmoil	Confusion	0.41	0.47	0.4	0.41	0.43	0.47
Cry Your Heart Out	Adele	Cry your heart out, it'll clean your faceWhen you're in doubt, go at your own paceCry your heart out, it'll clean your faceWhen you're in doubt, go at your own paceWhen I walk in a room, I'm invisibleI feel like a ghostAll my friends keep on tellin' me thatThis feeling won't last, mmI can't get no relief, I'm so tired of myselfI swear I'm dead in the eyesI have nothin' to feel no more, I can't even cryWhen will I begin to feel like me again?I'm hanging by a threadMy skin's paper thin, I can't stop waveringI've never been more scaredCry your heart out, it'll clean your faceWhen you're in doubt, go at your own paceCry your heart out, it'll clean your faceWhen you're in doubt, go at your own paceWhen I wake up, I'm afraid of the ideaOf facin' the dayI would rather stay home on my ownDrink it all awayPlease stop callin' me, it's exhaustingThere's really nothin' left to sayI created this storm, it's only fair I have to sit in its rainWhen will I begin to feel like me again?I'm hanging by a threadMy skin's paper thin, I can't stop waveringI've never been more scaredCry your heart out, it'll clean your faceWhen you're in doubt, go at your own paceCry your heart out, it'll clean your faceWhen you're in doubt, go at your own paceAll love is devout, no feeling is a wasteBut keep it to yourself now, before it's too lateIn the end it's just you, stop drowning in waitYour love is useless without itCry your heart out (cry, yeah), it'll clean your faceWhen you're in doubt, go at your own pace	No	Depression	Heartache	Sadness	Heartbreak	Heartache	Heartache	Release	0.41	0.55	0.39	0.41	0.41	0.16
My Mind & Me	Selena Gomez	Wanna hear a part to my story? I tried to hide in the gloryAnd sweep it under the table, so you would never knowSometimes I feel like an accident, people look when they're passin' itNever check on the passenger, they just want the free showYeah, I'm constantly tryna fight somethin' that my eyes can't seeMy mind and me, we don't get along sometimesAnd it gets hard to breathe, but I wouldn't change my lifeAnd all of the crashin' and burnin' and breakin', I know nowIf somebody sees me like this, then they won't feel alone nowMy mind and meIt's hard to talk and feel heard when you always feel like a burdenDon't wanna add to concern, I know they already gotBut if I pull back the curtain, then maybe someone who's hurtin'Will be a little more certain, they're not the only one lostYeah, I'm constantly tryna fight somethin' that my eyes can't seeMy mind and me, we don't get along sometimesAnd it gets hard to breathe, but I wouldn't change my lifeAnd all of the crashin' and burnin' and breakin', I know nowIf somebody sees me like this, then they won't feel alone nowMy mind and me (ah, ah, ah)My mind and me (ah, ah, ah)My mind, my mindMy mind and me (ah, ah, ah)My mind and me (ah, ah, ah)Oh, it's only my mind and meMy mind and me	No	Depression	Heartache	Self-exploration	Self-awareness	Depression	Mental health	Mental Health	0.41	0.31	0.37	1.0	0.61	0.61
